question,answer
なぜ「パスポートは2020年2月3日以前に申請のもの」という条件がついているのですか？,2020年2月4日以降に申請されたパスポートでは、「所持人記入欄」が廃止されており、住所の確認ができなくなっているためです。
積立の一時停止、再開はできますか？,一時停止の機能はございません。積立設定を一旦解除いただき、ご希望の時期にあらためて積立設定を行ってください。
積立の申込がうまくできません。,以下の点についてご確認ください。 SUSTENのサービスをご利用いただけるシステム環境が整っているかご確認ください。 お申込み手続き完了前にブラウザの「×」ボタン等でサイトを閉じられますと、積立の設定が完了しませんので、あらためてお手続きをお願いいたします。 セキュリティ対策アプリを経由してお手続きをいただきますと、まれに作動に不具合が発生する場合がございます。別の端末をお持ちの場合は、そちらからもお試しいただけますと幸いです。 金融機関サイトに遷移した後の作動やエラーに関しては、各金融機関にお問合せください。
引落予定日に銀行口座を確認しましたが、SUSTENとは異なる社名が記載されているのはなぜですか？,ご利用の金融機関によっては、当社名ではなく収納代行業者名が表示されます。 収納機関名として、収納代行業者の「ビリングシステム株式会社」「みずほファクター株式会社」が表示される場合がございます。
家族の個人情報が記載されている住民票は、本人確認書類として使えますか？,ご家族の個人情報*が記載されている住民票は、そのまま本人確認書類としてご利用いただくことはできません。 ご家族の個人情報部分につきましては、本人確認書類原本の該当部分を付箋やメモなどで隠した状態で撮影、ご提出ください。 ※本人確認書類の撮影をした後、画像を加工いただいたものは画像の加工となるため、本人確認書類としてご利用いただくことはできません。 （例：ご家族の個人情報記載箇所をスタンプやペイントソフト等で画像の上から塗りつぶしてあるもの、等） ※家族の個人情報とは、マイナンバー、本籍地、氏名、生年月日、住所、性別、身体・精神障害の情報等の機微情報に該当する情報を指します。
申し込む口座種別の違いは何ですか？,〇NISA口座 無期限で非課税となります。 〇特定口座（源泉徴収あり） SUSTENのご利用で発生する譲渡益等への課税関係を、当社での源泉徴収で完了させることができます。お客さまご自身による確定申告などの面倒な手続きは、原則不要となります。 〇特定口座（源泉徴収なし） 当社で特定口座内の譲渡損益計算を行い、特定口座年間取引報告書を作成しますが、納税についてはお客さまご自身で確定申告を行う必要があります。 〇一般口座 お客さまご自身で年間の譲渡損益を計算し、確定申告を行う必要があります。
何に投資をしているか、具体的に確認できますか？,当社サービスは自社が運用する投資信託を通じて、国内外の様々な金融商品に投資を行います。詳細は、 ファンド情報 よりご確認いただけます。 また、毎月の投資信託のパフォーマンスについては SUSTEN LAB. でもご確認いただけます。 投資対象のご説明は、 各ファンドの交付目論見書 の「ファンド目的」「ファンドの特徴」の項目をご参照ください。 直近での投資状況につきましては、 各ファンドの運用報告書、月次レポート をご参照ください。 当社サービスでは、投資信託の組入れ比率を変更することにより、運用診断の結果に応じてお客さま一人一人に合ったポートフォリオをご提案しております。
積立の引落はNISA口座開設のための税務署審査完了前でも開始されますか？,積立の引落は、NISA口座の開設完了前であっても直近の引落予定日より開始されます。NISA口座の開設完了前に内容が確定した引落分については、課税口座で運用されます。
不在のため簡易書留を受け取れなかったのですがどうしたらいいですか？,大変お手数ではございますが、郵便局へ再配達をご依頼いただき、郵便局の保管期限内にお受け取りくださいますようお願いいたします。 なお、マイナンバーカードを読み取り口座開設をいただいたお客さまには、簡易書留ハガキの発送はございません。
積立の設定にはインターネットバンキングの口座が必要ですか？,積立の設定にはインターネットバンキングの口座が必要となります。 インターネットバンキングの手続きにつきましては、ご利用の金融機関でご確認をお願いいたします。なお、インターネット経由での登録に対応していない金融機関もあります。
積立設定を解除したのに引落が発生したのはなぜですか？,積立の解除は引落日の８営業日前の前日までにお申込みいただく必要がございます。それ以降に積立を解除された場合は、次々回の積立から解除が適用されます。くわしくは、お客さまサイト内・積立設定のページをご確認ください。
SUSTENは何歳から申し込めますか？,SUSTENは18歳からお申込みいただけます。 なお、NISA口座もあわせてをお申込みいただく場合、その年の1月1日時点で18歳である必要がございます。
積立設定の解除はどのように行えばいいですか？いつまでに行えばいいですか？,積立設定の解除は積立設定の画面よりお手続きいただけます。 引落日の8営業日前の前日までに解除いただきますようお願いいたします。
積立の引落日は決まっていますか？,毎月1日、5日、20日、26日から引落日をお選びいただけます。 引落日が土日祝日の場合は、翌営業日の引落となります。 ※積立に関する変更は、引落日の8営業日前の前日までに変更いただく必要があります。
他の金融商品との損益通算はできますか？,確定申告の手続きを行っていただくことで、他社で保有されている金融商品との損益通算が可能です。 詳細については所轄の税務署や税理士等にご確認ください。 なお、NISA口座の損益は他の金融商品と通算することはできません。
積立額はいくらからですか？,積立額は1万円からご設定いただけます。
特定口座とはなんですか？,特定口座とは、金融機関がお客さまに代わり、取引の譲渡損益等の計算を行う口座です。 「源泉徴収あり」をご選択いただいた場合、金融機関が所得税・住民税を源泉徴収することで課税関係が完了し、お客さまによる確定申告手続きは原則不要となります。
SUSTENが倒産した場合、投資資金はどうなりますか？,SUSTENの資産運用サービスは「公募投資信託」を通じて提供され、お客さまのご資産は、投資信託の運用を受託する信託銀行で保管・管理されます。このため、お客さまのご資産は、当社の倒産リスクからは隔離されております。万が一、受託者である信託銀行が破綻した場合でも、信託銀行の固有財産とは分別して管理・保全されているため、影響を受けることはありません。 また、当社は投資信託の直接募集会社という位置付けにあるため、証券会社等が対象となる投資家保護基金には加入しておりませんが、ご入金から投資信託買付までの期間についても、お客さまのご資金は、「顧客分別金」として信託銀行に信託され、当社の固有財産とは分別して管理・保全されています。
積立の引落口座と出金先口座は同じでなくてはいけませんか？,ご本人名義の口座であれば、同一である必要はございません。 口座開設時に積立設定をいただいたお客さまは積立の引落口座が自動的に出金口座として登録されます。変更いただく場合、入出金＞＞出金画面にて出金先口座を変更ください。
積立額は変更できますか？いつまでに変更すれば間に合いますか？,引落日の８営業日前の前日までは変更が可能です。それ以降の変更は、次回の積立予定に反映されます。 変更可能日の詳細につきましては、お客さま画面でご確認いただけます。 積立スケジュール *土日祝日も変更操作をいただけます。24時以降の場合、次回積立時に反映されます。反映日時の詳細は、お客さま画面でご確認いただけます。 **6営業日以降に投資信託の購入申込受付不可日が含まれる場合、その翌営業日に発注が行われるため、運用開始日が変動します。詳しくは「 入金してから運用が始まるまでどれくらいかかりますか？ 」 をご参照ください。
引落口座を変更できますか？,引落日の８営業日前の前日までは変更が可能です。積立設定画面よりご変更いただけます。 変更可能日の詳細につきましては、お客さま画面でご確認をいただけます。
なぜマイナンバーおよび写真付き身分証明書の提出が必要なのですか？,法令により、口座開設時にマイナンバーをご提示いただく必要があるほか、税務署に提出する法定調書などの書類に、マイナンバーを記載する必要がございます。 加えて、口座開設時には本人確認書類をご提示いただく必要がありますが、当社ではすべてのお客さまに写真付き身分証明書のご提示をお願いしております。
積立を利用しなくてもSUSTENを利用することはできますか？,積立サービスを利用しなくてもSUSTENをご利用いただけます。 ※ご入金の際の振込手数料はお客さま負担となります。
ボーナス月は積立額を増額できますか？,可能です。ボーナス月および追加額を別途ご設定いただけます。 ボーナス月には、毎月の引落額に加えてボーナス月の追加額が引落されます。 お客さまページへログイン、入出金＞＞積立よりご設定ください。
引落の取り消しはできますか？,締切日以降は、引落の取り消しはできません。 引落日の８営業日前の前日までに余裕をもって設定をご変更ください。 変更可能日の詳細につきましては、お客さま画面でご確認を頂けます。
購入する投資信託を指定することはできますか？,購入する投資信託を指定いただくことはできません。 SUSTENではシステムがお客さまに合った投資信託を自動で判断、購入し運用いたします。
初回入金は積立から開始できますか？,可能です。積立は1万円からご設定いただけます。
口座開設には費用がかかりますか？,無料で 口座を開設いただけます。口座管理料、出金手数料も無料です。
クレジットカードでの引落はできますか？,クレジットカードでの引落には対応しておりません。
複数の口座を開設することはできますか？,複数の口座を開設いただくことはできません。 SUSTENでは、お客さまお一人につき１口座に限りお申込みをお受けし、運用診断にご回答いただくことで、それぞれのお客さまに合ったポートフォリオをご提供しています。 なお、複数回の口座をお申込みいただいた場合、初回申込についてのみ口座開設のお手続きをいたします 2度目以降のお申込みは受付いたしません。 ＊異なるメールアドレスをご登録いただきましても、同一のお客さまからのお申込みであった場合、２度目以降のお手続きは無効となります。
簡易書留を別の住所で受け取りたいのですが、転送できますか？,犯罪収益移転防止法に定められた本人確認の方法に従い、簡易書留郵便をご登録住所に転送不要でお送りしております。そのため、転送およびご登録住所以外への送付は承ることができません。 住所に変更があった場合には、お客さま情報の再入力および本人確認書類の再提出をお願いいたします。 なお、マイナンバーカードを読み取り口座開設を行っていただいたお客さまはその場で本人確認が完了いたします。簡易書留ハガキを当社からお送りすることはございません。
積立は引落手数料がかかりますか？,積立の引落手数料は無料です。 積立の設定は、お客さま画面内の「入出金」より積立設定へお進みください。
引落口座を変更したいのですが、出金先口座も自動的に引落口座と同じ口座に変更されますか？,引落口座を変更しても、出金先口座は変更されません。 積立の引落が初回入金となる場合のみ、積立の引落口座が自動的に出金先口座として登録されます。
SUSTENとSUSTEN for マネーフォワードを併用して利用することはできますか？,併用してご利用いただくことはできません。
運用診断の後、メールアドレスの登録を行わず、手続きを中止してしまいました。途中から手続きをはじめることはできますか？,恐れ入りますが、運用診断からもう一度やり直していただきますようお願いいたします。
SUSTENの口座を解約しましたが、もう1度口座を開設することはできますか？,口座を解約されても、あらためて口座開設をいただくことができます。 ただし、特定口座を解約された場合、同一年内に再度特定口座を開設することはできません。 同一年内に口座の開設をされる場合は、「一般口座」でお申込みください。 また、同一メールアドレスであらためて口座を開設することはできません。口座の再開設をお申込みいただく場合は、新しいメールアドレスをご登録ください。
SUSTENからSUSTEN for マネーフォワードに変更することはできますか？またSUSTEN for マネーフォワードからSUSTENに変更することはできますか？,変更できません。 現在ご利用中のサービスをご解約いただいた後、新たにお申込みいただく必要がございます。 なお、同一メールアドレスにてお申込みをいただくことはできません。 また、特定口座を開設されていた場合、同一年内に、再度特定口座を開設いただくことはできません。
「成果報酬残分支払」とはなんですか？,運用成果報酬が発生する場合、保有投資信託の売却により徴収しますが、報酬計算日にご入金された場合には、当該入金額から優先して徴収させていただきます。「取引履歴」には以下のように記載されます。 同日入金分からの支払：「成果報酬残分支払」 投資信託売却分からの支払：「売却」内に表示される内訳の「成果報酬」 ※実際の画面とは異なる場合があります。
一般口座から特定口座への変更はできますか？特定口座から一般口座への変更はできますか？,一般口座から特定口座、特定口座から一般口座への変更はできません。 ご資金を全て出金し口座を解約いただいた後、support@susten.jpまでご連絡ください。 なお、特定口座を解約された場合、同一年度内に再度特定口座を開設することはできません。 口座変更の手順は以下の通りです。 １．積立設定の解除（積立をご利用されている場合） ２．全額出金の申込 ３．口座解約の依頼 ４．新規口座開設の申込 １．積立の解除（積立をご利用されている場合） お客さま画面＞＞入出金＞＞積立設定＞＞変更する＞＞積立を解除する へお進みください。 解除のタイミングによっては、次回引落が行われた後に設定解除となる場合があります。 次回積立予定にて、引落日や解除期日をご案内しておりますので、ご確認いただけますようお願いいたします。 ２．全額出金の申込 お客さま画面＞＞入出金＞＞出金＞＞全額出金する＞＞出金を依頼する へお進みください。 全額出金いただいた後に積立による引落が発生した場合、あらためて全額出金のお手続きが必要です。 当社サービスは、投資信託を通して価格変動のある有価証券等に投資を行うため、お客さまの純資産残高は日々変動いたします。全額出金の申込タイミングは、お客さまご自身のご判断でいただけますようよろしくお願い申し上げます。 ３．口座解約の依頼 以下の記載事項をsupport@susten.jpまでメールでご連絡ください。 【記載事項】 ・氏名 ・生年月日 ・ご登録のご住所 ・ご登録のお電話番号 ・ご意向の記載（特定口座から一般口座にしたい、一般口座から特定口座にしたい、等） ※必ずご登録のメールアドレスからご連絡をいただけますようお願いいたします。 ご連絡をいただきました後、手続きについてご案内いたします。
本人確認書類のアップロード方法を教えてください。,撮影にあたっての注意事項 ・お手元の身分証明書が、当社指定の身分証明書に該当するか、また有効期限内のものであるかご確認ください。 ・書類全体が写っているか、必要な面すべてが撮影されているかご確認ください。 ・記載事項がはっきりと写っているかご確認ください。 ・カメラフラッシュを使用すると光が反射し、記載事項の確認ができなくなる可能性がありますのでご注意ください。 ・ファイルサイズの上限は９MBです。 PCからアップロードする場合 ・本人確認書類（オモテ面およびウラ面）を撮影し、画像ファイルをPCの任意の場所に保存します。 ・「写真をアップロード」をクリックします。 ・PCの保存場所から該当する画像ファイルを選択しアップロードします。 スマートフォン等からアップロードする場合 ・「写真をアップロード」をタップします。 ・「写真を撮る」や「カメラ」等をタップします。 ・該当する本人確認書類を撮影し「写真を使用」等をタップしアップロードします。 ※ご利用の機種によって名称や操作が異なる場合があります。 スマートフォン等からアップロードする場合 ・本人確認書類（オモテ面およびウラ面）を撮影し、スマートフォン内に保存します。 ・「写真をアップロード」をタップします。 ・「フォトライブラリ」や「ドキュメント」等をタップし、保存場所から該当する画像を選択しアップロードします。 ※ご利用の機種によって名称や操作が異なる場合があります。
契約締結前交付書面、契約締結時交付書面とは何ですか？,金融商品取引法により、お客さまへの交付が義務付けられている書面で、契約内容、手数料、リスクなどの重要事項の説明が記載されています。 「契約締結前交付書面」については、アカウント作成時にご確認いただく他、当社Webサイトにおいても最新版を掲載しております。また、お客さまに1年に1度以上交付し、その内容をご確認いただいております。 「契約締結時交付書面」については、ログイン後の「契約/交付書面等」に掲載しております。
本人確認書類を提出する際の注意点はありますか？（本人確認書類を撮影・画像登録をして口座開設をお申込みいただく場合）,本人確認書類をアップロードいただく際は、以下のような点にご注意ください。 アップロードの際、ご提出書類が正しく選択されているかご確認ください。 特にマイナンバーカードとマイナンバー通知カードをお間違えになる事例が多く見受けられます。 また、スクリーンショット画像をご提出いただく事例が多く見受けられます。 スクリーンショットの画像はご本人さま確認としては承りかねます。 あらかじめご了承ください。 本人確認書類を撮影いただき、そのままご登録をいただきますようお願いいたします。 ※ファイルサイズの上限は9MBです。
本人確認用の簡易書留ハガキを紛失しました。,ご登録いただきましたメールアドレスより、support@susten.jpまでメールでご連絡ください。 当社よりあらためてご連絡いたします。なお、ハガキのお受取りから数日経過しますと、郵便システムとの連携で自動的にご本人さま確認が完了します。その場合、直接SUSTENにログインの上、お取引を開始いただけます。 なお、マイナンバーカードを読み取り口座開設を行っていただいたお客さまには、簡易書留ハガキの発送はございません。
本人確認書類には何が使えますか？,現在の氏名・住所が記載されたもので、以下のいずれかの組合せにてご提出いただけます。 〇マイナンバーカード（単体） 〇マイナンバー通知カード（現住所記載）＋ 写真付き身分証明書 〇マイナンバー入り住民票（発行から6ヵ月以内）＋ 写真付き身分証明書 ※ご提出いただく住民票は、ご本人さまの情報のみが記載されているものをご提出いただきますようお願いいたします。 ※写真付き身分証明書は以下のいずれかをご提出ください。 運転免許証 運転経歴証明書 旅券 （パスポート、2020年2月3日以前に申請した日本国発行のもので住所が記載されているものに限る） 在留カード （有効期限が2ヶ月以上あるもの、または申請中の記載があるもの） 特別永住者証明書 ＊障碍者手帳等、その他の公的写真付き身分証明書のご利用を希望される場合は、support@susten.jpまでメールでご連絡ください。
各本人確認書類について教えてください。,個人番号通知書は、マイナンバー通知カードの代替としてはご利用いただけません。ご注意ください。 ご提出いただく本人確認書類について、以下２点をご確認ください。 ・現在の住所・氏名が記載されていること ・有効期限内であること 本人確認書類は、以下のいずれかの組合せにて、ご提出いただけます。 ・マイナンバーカード（単体） マイナンバーカードは、プラスチック製のICチップ付きカードです。券面に氏名、住所、生年月日、性別、マイナンバー（個人番号）とご本人さまの顔写真等が記載されています。 ※撮影の際は、必ずカードケースから取り出してください。 ・マイナンバー通知カード（＋ 写真付き身分証明書） マイナンバー通知カードは、お住まいの自治体より郵送される紙製のカードで、住民にマイナンバーをお知らせするものです。券面に氏名、住所、生年月日、性別、マイナンバー等が記載されています。 ※記載された住所から転居されている場合は使用できません。 ・マイナンバーが記載された住民票（＋ 写真付き身分証明書） ※発行から6ヶ月以内であることをご確認ください。 ※撮影の際は、必ず氏名、住所、生年月日、発行日、個人番号、公印が写っていることをご確認ください。 ※ご提出いただく住民票は、ご本人さまの情報のみが記載されているものをご提出いただきますようお願いいたします。 写真付き身分証明書は以下のいずれかをご提出いただけます。 ・運転免許証 ※オモテ面、ウラ面を撮影してアップロードしてください。 ・運転経歴証明書 ※オモテ面、ウラ面を撮影してアップロードしてください。 ・旅券（パスポート） ※2020年2月3日以前に申請した日本国発行のもので、所持人記入欄に氏名、住所が記入されているものに限ります。 ※顔写真入りのページをオモテ面に、所持人記載欄のページを住所が記載されているか確認しウラ面にアップロードしてください。 ・在留カード ※有効期限が2ヶ月以上あるもの、または申請中の記載があるものに限ります。 ※オモテ面、ウラ面を撮影してアップロードしてください。 ・特別永住者証明書 ※オモテ面、ウラ面を撮影してアップロードしてください。
